algorithm,N,k,comparisons,time,entry_time
quick_sort,100000,100,0,0,1652159204.0450437
quick_sort,100000,10,0,0,1652159206.1948743
quick_sort,21544,10,0,0,1652159206.539523
quick_sort,10000,10,0,0,1652159208.7571383
quick_sort,46415,10,0,0,1652159211.7366962
quick_sort,152641,10,0,0,1652159862.8532054
quick_sort,184206,10,0,0,1652159898.5374434
quick_sort,471486,100,0,0,1652159904.3225
quick_sort,71968,10,0,0,1652159905.8710272
quick_sort,222299,100,0,0,1652159970.9302225
quick_sort,828642,100,0,0,1652159978.4506466
quick_sort,323745,100,0,0,1652159984.026408
quick_sort,49417,10,0,0,1652160010.2123883
quick_sort,471486,10,0,0,1652160204.477857
quick_sort,222299,10,0,0,1652160323.2456942
quick_sort,828642,10,0,0,1652160341.14833
quick_sort,268269,10,0,0,1652160354.2443979
quick_sort,686648,10,0,0,1652160388.4469814
quick_sort,126485,10,0,0,1652160403.328091
quick_sort,390693,100,0,0,1652160413.160688
quick_sort,1000000,10,0,0,1652160507.329449
quick_sort,268269,100,0,0,1652160508.17647
quick_sort,86851,10,0,0,1652160520.4091446
quick_sort,19306,10,0,0,1652160557.1072462
quick_sort,568986,100,0,0,1652160562.58945
quick_sort,28117,10,0,0,1652160572.6151493
quick_sort,390693,10,0,0,1652160586.9666755
quick_sort,23299,10,0,0,1652160595.2834537
quick_sort,13257,10,0,0,1652160597.589316
quick_sort,152641,100,0,0,1652160656.4709992
quick_sort,184206,100,0,0,1652160663.0121927
quick_sort,15998,10,0,0,1652160675.4357986
quick_sort,59636,10,0,0,1652160678.723574
quick_sort,104811,10,0,0,1652160710.9550707
quick_sort,33932,10,0,0,1652160779.1547265
quick_sort,10985,10,0,0,1652160804.514019
quick_sort,568986,10,0,0,1652160820.6236248
quick_sort,686648,100,0,0,1652160829.2989469
quick_sort,104811,100,0,0,1652160881.617233
quick_sort,1000000,1000,0,0,1652160898.4311006
quick_sort,40949,10,0,0,1652160899.675817
quick_sort,1000000,100,0,0,1652160906.3423553
quick_sort,323745,10,0,0,1652160922.1408818
quick_sort,126485,100,0,0,1652160926.4361265
quick_sort,217785,9,0,0,1652162065.1628242
quick_sort,264566,99,0,0,1652162147.5230508
quick_sort,9680,9,0,0,1652162147.9277923
quick_sort,179275,99,0,0,1652162164.7578197
quick_sort,24795,9,0,0,1652162253.1025198
quick_sort,232379,40,0,0,1652162291.855396
quick_sort,390435,9,0,0,1652162301.0008595
quick_sort,677619,99,0,0,1652162320.8014631
quick_sort,240038,40,0,0,1652162322.1131265
quick_sort,59517,40,0,0,1652162324.5686617
quick_sort,331991,99,0,0,1652162349.7146618
quick_sort,331991,40,0,0,1652162419.2692022
quick_sort,26456,9,0,0,1652162434.593746
quick_sort,96808,99,0,0,1652162441.9618013
quick_sort,54000,9,0,0,1652162446.077316
quick_sort,85031,40,0,0,1652162450.4174938
quick_sort,342934,99,0,0,1652162454.3342834
quick_sort,168016,40,0,0,1652162472.9168112
quick_sort,291600,99,0,0,1652162477.2595277
quick_sort,106701,99,0,0,1652162482.491812
quick_sort,191289,99,0,0,1652162483.2279642
quick_sort,354238,40,0,0,1652162557.6177616
quick_sort,21778,9,0,0,1652162569.9795725
quick_sort,635063,40,0,0,1652162637.4627738
quick_sort,87833,9,0,0,1652162724.7518208
quick_sort,152439,40,0,0,1652162725.606738
quick_sort,878338,40,0,0,1652162745.4177783
quick_sort,168016,99,0,0,1652162760.5676534
quick_sort,796908,99,0,0,1652162773.6706583
quick_sort,142866,40,0,0,1652162808.0730646
quick_sort,968089,999,0,0,1652162826.1995173
quick_sort,197594,40,0,0,1652162840.9248567
quick_sort,48993,9,0,0,1652162846.1204326
quick_sort,133893,40,0,0,1652162846.724669
quick_sort,10329,9,0,0,1652162856.4236095
quick_sort,723027,40,0,0,1652162871.6776161
quick_sort,321397,40,0,0,1652162894.7033
quick_sort,13389,9,0,0,1652162898.8864534
quick_sort,301212,9,0,0,1652162913.097175
quick_sort,48993,40,0,0,1652162917.202875
quick_sort,522769,9,0,0,1652162936.3286579
quick_sort,45916,40,0,0,1652163005.493819
quick_sort,65599,40,0,0,1652163045.102306
quick_sort,15243,9,0,0,1652163056.0135121
quick_sort,36591,9,0,0,1652163059.0799055
quick_sort,93719,99,0,0,1652163089.349201
quick_sort,746860,99,0,0,1652163097.2030694
quick_sort,1000000,99,0,0,1652163101.3170383
quick_sort,282295,9,0,0,1652163129.3832242
quick_sort,55780,40,0,0,1652163162.8396626
quick_sort,796908,400,0,0,1652163168.8633556
quick_sort,540000,9,0,0,1652163192.8900387
quick_sort,937197,99,0,0,1652163204.387855
quick_sort,43033,9,0,0,1652163205.2345273
quick_sort,47430,40,0,0,1652163218.188753
quick_sort,390435,40,0,0,1652163232.2209303
quick_sort,655996,40,0,0,1652163284.6455693
quick_sort,32139,9,0,0,1652163288.2842371
quick_sort,614797,99,0,0,1652163289.9016979
quick_sort,21083,9,0,0,1652163291.2564778
quick_sort,103296,99,0,0,1652163423.7957218
quick_sort,79690,40,0,0,1652163424.1614969
quick_sort,35423,9,0,0,1652163434.067065
quick_sort,217785,99,0,0,1652163461.8516169
quick_sort,256124,9,0,0,1652163477.4776626
quick_sort,103296,40,0,0,1652163493.5246766
quick_sort,224963,40,0,0,1652163525.2960808
quick_sort,210835,40,0,0,1652163526.6709378
quick_sort,247951,9,0,0,1652163533.016701
quick_sort,557800,40,0,0,1652163540.767488
quick_sort,403305,400,0,0,1652163541.789843
quick_sort,522769,99,0,0,1652163558.2855244
quick_sort,18518,9,0,0,1652163665.678539
quick_sort,321397,99,0,0,1652163677.7312982
quick_sort,430331,40,0,0,1652163693.5183878
quick_sort,365915,400,0,0,1652163719.4309664
quick_sort,74686,40,0,0,1652163759.1300874
quick_sort,489937,9,0,0,1652163780.3420663
quick_sort,31114,9,0,0,1652163797.4119275
quick_sort,247951,99,0,0,1652163805.722799
quick_sort,121480,99,0,0,1652163808.6713557
quick_sort,635063,9,0,0,1652163877.8678324
quick_sort,217785,40,0,0,1652163879.065016
quick_sort,52276,40,0,0,1652163898.9228961
quick_sort,19128,9,0,0,1652163900.5939515
quick_sort,138307,40,0,0,1652164003.9498649
quick_sort,907290,400,0,0,1652164020.9256847
quick_sort,11021,9,0,0,1652164061.2816505
quick_sort,416599,400,0,0,1652164186.4803698
quick_sort,474303,400,0,0,1652164218.3408709
quick_sort,204107,99,0,0,1652164237.2357376
quick_sort,59517,9,0,0,1652164239.579267
quick_sort,635063,99,0,0,1652164253.5369751
quick_sort,850310,99,0,0,1652164257.572523
quick_sort,595179,400,0,0,1652164265.6096575
quick_sort,878338,400,0,0,1652164291.6153266
quick_sort,39043,9,0,0,1652164302.1048388
quick_sort,377976,400,0,0,1652164327.0095627
quick_sort,50608,9,0,0,1652164328.0069752
quick_sort,179275,40,0,0,1652164344.947863
quick_sort,117604,9,0,0,1652164347.5058622
quick_sort,85031,9,0,0,1652164358.3367763
quick_sort,100000,99,0,0,1652164359.373839
quick_sort,850310,40,0,0,1652164374.7727349
quick_sort,506087,400,0,0,1652164388.7019215
quick_sort,557800,9,0,0,1652164412.5216737
quick_sort,224963,99,0,0,1652164456.8607106
quick_sort,699955,9,0,0,1652164549.376567
quick_sort,14757,9,0,0,1652164563.5322483
quick_sort,65599,9,0,0,1652164594.1796093
quick_sort,342934,40,0,0,1652164600.3311067
quick_sort,22496,9,0,0,1652164601.5897505
quick_sort,699955,40,0,0,1652164648.0601275
quick_sort,240038,9,0,0,1652164653.2515879
quick_sort,474303,99,0,0,1652164755.6705005
quick_sort,677619,40,0,0,1652164797.6878965
quick_sort,301212,40,0,0,1652164799.1921952
quick_sort,27328,9,0,0,1652164804.4591334
quick_sort,12148,9,0,0,1652164827.4607913
quick_sort,8783,9,0,0,1652164837.2437658
quick_sort,10670,9,0,0,1652164838.5326884
quick_sort,416599,99,0,0,1652164851.916789
quick_sort,129621,99,0,0,1652164852.2105954
quick_sort,557800,400,0,0,1652164896.054707
quick_sort,173554,40,0,0,1652164917.8134744
quick_sort,113851,9,0,0,1652164920.2737162
quick_sort,311141,40,0,0,1652164925.2461658
quick_sort,273287,9,0,0,1652164942.7698543
quick_sort,25612,9,0,0,1652164948.4285996
quick_sort,489937,40,0,0,1652164965.3807893
quick_sort,96808,40,0,0,1652165079.723764
quick_sort,1000000,9,0,0,1652165116.1873362
quick_sort,147575,40,0,0,1652165136.2319138
quick_sort,224963,9,0,0,1652165164.6102982
quick_sort,57618,40,0,0,1652165213.3312967
quick_sort,15746,9,0,0,1652165218.857855
quick_sort,45916,9,0,0,1652165248.2409205
quick_sort,311141,9,0,0,1652165331.0421011
quick_sort,699955,99,0,0,1652165334.9488118
quick_sort,444515,400,0,0,1652165353.5520883
quick_sort,121480,9,0,0,1652165428.9360974
quick_sort,147575,99,0,0,1652165474.855759
quick_sort,74686,9,0,0,1652165596.9231772
quick_sort,771478,400,0,0,1652165611.2524157
quick_sort,69995,40,0,0,1652165629.0766327
quick_sort,185184,40,0,0,1652165707.9300377
quick_sort,162655,40,0,0,1652165768.9309638
quick_sort,796908,40,0,0,1652165790.1501937
quick_sort,1000000,40,0,0,1652165828.0065055
quick_sort,907290,9,0,0,1652165892.8225079
quick_sort,595179,40,0,0,1652165953.2282383
quick_sort,771478,99,0,0,1652165954.9814553
quick_sort,474303,40,0,0,1652165974.2847943
quick_sort,614797,400,0,0,1652165990.5644002
quick_sort,540000,99,0,0,1652166000.6529067
quick_sort,44451,9,0,0,1652166055.2544997
quick_sort,129621,40,0,0,1652166065.710433
quick_sort,430331,9,0,0,1652166134.1524134
quick_sort,72302,40,0,0,1652166178.1812115
quick_sort,635063,400,0,0,1652166186.6870608
quick_sort,968089,400,0,0,1652166190.032647
quick_sort,138307,99,0,0,1652166202.193143
quick_sort,191289,9,0,0,1652166245.1285095
quick_sort,377976,40,0,0,1652166291.6773467
quick_sort,522769,40,0,0,1652166326.4662898
quick_sort,365915,40,0,0,1652166405.630338
quick_sort,321397,9,0,0,1652166465.2360623
quick_sort,125484,9,0,0,1652166477.2455418
quick_sort,264566,40,0,0,1652166492.6727672
quick_sort,100000,9,0,0,1652166530.805048
quick_sort,823176,9,0,0,1652166550.5608633
quick_sort,39043,40,0,0,1652166558.8700974
quick_sort,79690,9,0,0,1652166566.2274554
quick_sort,850310,400,0,0,1652166571.7111418
quick_sort,264566,9,0,0,1652166591.2073872
quick_sort,282295,99,0,0,1652166609.4993274
quick_sort,61479,9,0,0,1652166620.818496
quick_sort,11760,9,0,0,1652166621.0139866
quick_sort,937197,40,0,0,1652166649.0297232
quick_sort,185184,99,0,0,1652166650.318999
quick_sort,746860,9,0,0,1652166677.8807545
quick_sort,282295,40,0,0,1652166705.0776837
quick_sort,937197,999,0,0,1652166715.4378185
quick_sort,365915,99,0,0,1652166754.5319855
quick_sort,17927,9,0,0,1652166775.3117392
quick_sort,121480,40,0,0,1652166794.555535
quick_sort,677619,400,0,0,1652166822.694224
quick_sort,90729,40,0,0,1652166834.4584816
quick_sort,576186,9,0,0,1652166852.8683171
quick_sort,106701,40,0,0,1652166859.6362092
quick_sort,10000,9,0,0,1652166902.6501327
quick_sort,723027,9,0,0,1652166969.17955
quick_sort,273287,40,0,0,1652166973.6921628
quick_sort,489937,99,0,0,1652166975.116515
quick_sort,24003,9,0,0,1652166980.560515
quick_sort,11385,9,0,0,1652166981.7005723
quick_sort,557800,99,0,0,1652166995.9847465
quick_sort,390435,400,0,0,1652167063.5573509
quick_sort,17355,9,0,0,1652167067.3752575
quick_sort,47430,9,0,0,1652167097.6956198
quick_sort,878338,99,0,0,1652167113.1097872
quick_sort,595179,9,0,0,1652167137.9227815
quick_sort,342934,9,0,0,1652167157.2374916
quick_sort,403305,40,0,0,1652167182.3885362
quick_sort,240038,99,0,0,1652167188.4027503
quick_sort,522769,400,0,0,1652167240.9483957
quick_sort,723027,99,0,0,1652167245.5867457
quick_sort,9371,9,0,0,1652167290.936181
quick_sort,907290,999,0,0,1652167337.540612
quick_sort,52276,9,0,0,1652167361.8409944
quick_sort,331991,9,0,0,1652167396.4329872
quick_sort,29160,9,0,0,1652167397.0531933
quick_sort,506087,99,0,0,1652167445.268108
quick_sort,1000000,400,0,0,1652167455.071068
quick_sort,311141,99,0,0,1652167480.6443694
quick_sort,152439,99,0,0,1652167498.9937978
quick_sort,9072,9,0,0,1652167501.4329858
quick_sort,125484,40,0,0,1652167529.0471895
quick_sort,147575,9,0,0,1652167584.6263866
quick_sort,152439,9,0,0,1652167598.1134427
quick_sort,106701,9,0,0,1652167603.8507726
quick_sort,746860,40,0,0,1652167624.8964646
quick_sort,133893,99,0,0,1652167633.9107091
quick_sort,655996,99,0,0,1652167653.3172278
quick_sort,100000,40,0,0,1652167666.2851882
quick_sort,191289,40,0,0,1652167682.4541821
quick_sort,12548,9,0,0,1652167706.9699876
quick_sort,162655,9,0,0,1652167710.5328763
quick_sort,63506,40,0,0,1652167775.1131778
quick_sort,110218,40,0,0,1652167806.246326
quick_sort,576186,40,0,0,1652167877.539889
quick_sort,459168,400,0,0,1652167878.257606
quick_sort,576186,400,0,0,1652167885.262581
quick_sort,540000,40,0,0,1652167904.9522583
quick_sort,444515,40,0,0,1652167992.6887481
quick_sort,197594,9,0,0,1652167998.0169652
quick_sort,474303,9,0,0,1652168029.7480762
quick_sort,403305,99,0,0,1652168055.5731404
quick_sort,96808,9,0,0,1652168057.6865313
quick_sort,354238,99,0,0,1652168082.2619393
quick_sort,129621,9,0,0,1652168127.8573768
quick_sort,173554,99,0,0,1652168131.941686
quick_sort,12962,9,0,0,1652168136.6030884
quick_sort,54000,40,0,0,1652168202.5352275
quick_sort,937197,400,0,0,1652168210.4703565
quick_sort,113851,40,0,0,1652168330.4541528
quick_sort,133893,9,0,0,1652168344.7222877
quick_sort,823176,99,0,0,1652168352.4418857
quick_sort,430331,400,0,0,1652168429.7920656
quick_sort,210835,9,0,0,1652168466.6359413
quick_sort,968089,40,0,0,1652168473.4970365
quick_sort,50608,40,0,0,1652168479.4257886
quick_sort,185184,9,0,0,1652168546.456428
quick_sort,125484,99,0,0,1652168560.1663508
quick_sort,30121,9,0,0,1652168569.5939906
quick_sort,57618,9,0,0,1652168583.6015525
quick_sort,168016,9,0,0,1652168623.9817755
quick_sort,204107,9,0,0,1652168628.837148
quick_sort,771478,40,0,0,1652168645.507655
quick_sort,489937,400,0,0,1652168651.4007838
quick_sort,61479,40,0,0,1652168664.9962835
quick_sort,16265,9,0,0,1652168669.5265129
quick_sort,19759,9,0,0,1652168719.5198805
quick_sort,291600,9,0,0,1652168726.1423123
quick_sort,93719,9,0,0,1652168731.4297276
quick_sort,796908,9,0,0,1652168768.6111486
quick_sort,77147,9,0,0,1652168795.0968559
quick_sort,93719,40,0,0,1652168796.7248003
quick_sort,16801,9,0,0,1652168809.724353
quick_sort,117604,99,0,0,1652168928.9709258
quick_sort,63506,9,0,0,1652168992.985225
quick_sort,14286,9,0,0,1652169002.7637367
quick_sort,157464,99,0,0,1652169062.1551175
quick_sort,44451,40,0,0,1652169064.9861267
quick_sort,67761,40,0,0,1652169132.283204
quick_sort,459168,9,0,0,1652169196.365309
quick_sort,142866,9,0,0,1652169199.7534149
quick_sort,210835,99,0,0,1652169233.087137
quick_sort,40330,40,0,0,1652169235.242535
quick_sort,247951,40,0,0,1652169238.9690363
quick_sort,459168,40,0,0,1652169264.3110166
quick_sort,33199,9,0,0,1652169279.4679675
quick_sort,162655,99,0,0,1652169391.1049192
quick_sort,34293,9,0,0,1652169472.5283675
quick_sort,506087,40,0,0,1652169487.5622993
quick_sort,655996,400,0,0,1652169488.1398802
quick_sort,416599,9,0,0,1652169604.6650636
quick_sort,117604,40,0,0,1652169605.2304873
quick_sort,256124,40,0,0,1652169618.0476644
quick_sort,907290,40,0,0,1652169679.7518451
quick_sort,41659,40,0,0,1652169711.9772487
quick_sort,142866,99,0,0,1652169785.4431603
quick_sort,390435,99,0,0,1652169786.1990402
quick_sort,13830,9,0,0,1652169786.4038732
quick_sort,576186,99,0,0,1652169966.1569705
quick_sort,377976,99,0,0,1652170024.8869603
quick_sort,20410,9,0,0,1652170027.541272
quick_sort,23237,9,0,0,1652170029.9424958
quick_sort,416599,40,0,0,1652170159.8955874
quick_sort,103296,9,0,0,1652170186.1671882
quick_sort,301212,99,0,0,1652170227.9955206
quick_sort,67761,9,0,0,1652170286.6368184
quick_sort,878338,9,0,0,1652170314.3796217
quick_sort,444515,99,0,0,1652170327.582275
quick_sort,110218,99,0,0,1652170358.600295
quick_sort,37797,9,0,0,1652170509.276306
quick_sort,173554,9,0,0,1652170529.474536
quick_sort,907290,99,0,0,1652170537.798197
quick_sort,291600,40,0,0,1652170548.7907336
quick_sort,55780,9,0,0,1652170612.3161485
quick_sort,459168,99,0,0,1652170657.7308846
quick_sort,138307,9,0,0,1652170662.1145885
quick_sort,746860,400,0,0,1652170750.9599793
quick_sort,614797,40,0,0,1652170767.2173736
quick_sort,204107,40,0,0,1652170780.0162046
quick_sort,540000,400,0,0,1652170795.435519
quick_sort,43033,40,0,0,1652170798.0946112
quick_sort,41659,9,0,0,1652170821.988397
quick_sort,614797,9,0,0,1652170857.1639922
quick_sort,937197,9,0,0,1652170878.1126401
quick_sort,823176,40,0,0,1652170883.5992718
quick_sort,354238,9,0,0,1652170938.000364
quick_sort,90729,9,0,0,1652170939.8971744
quick_sort,37797,40,0,0,1652171090.9302042
quick_sort,197594,99,0,0,1652171092.4381378
quick_sort,655996,9,0,0,1652171150.0522919
quick_sort,723027,400,0,0,1652171158.761205
quick_sort,444515,9,0,0,1652171181.7705674
quick_sort,823176,400,0,0,1652171230.2970414
quick_sort,110218,9,0,0,1652171241.797325
quick_sort,77147,40,0,0,1652171242.5916703
quick_sort,82317,40,0,0,1652171252.574518
quick_sort,28229,9,0,0,1652171268.8692293
quick_sort,40330,9,0,0,1652171280.7928295
quick_sort,113851,99,0,0,1652171304.7314699
quick_sort,968089,9,0,0,1652171385.1828547
quick_sort,403305,9,0,0,1652171429.0720804
quick_sort,771478,9,0,0,1652171458.21482
quick_sort,157464,40,0,0,1652171488.9376986
quick_sort,968089,99,0,0,1652171692.718302
quick_sort,87833,40,0,0,1652171730.7175014
quick_sort,82317,9,0,0,1652171758.8700383
quick_sort,377976,9,0,0,1652171818.707512
quick_sort,699955,400,0,0,1652171822.0037944
quick_sort,232379,9,0,0,1652171827.0689487
quick_sort,1000000,999,0,0,1652171859.7344546
quick_sort,179275,9,0,0,1652171895.5055857
quick_sort,273287,99,0,0,1652171896.4947557
quick_sort,430331,99,0,0,1652171902.6830556
quick_sort,72302,9,0,0,1652171904.1742194
quick_sort,506087,9,0,0,1652171992.1153727
quick_sort,69995,9,0,0,1652172001.0839
quick_sort,232379,99,0,0,1652172001.5926504
quick_sort,677619,9,0,0,1652172017.6323447
quick_sort,850310,9,0,0,1652172051.0132186
quick_sort,365915,9,0,0,1652172071.5602412
quick_sort,256124,99,0,0,1652172073.904317
quick_sort,595179,99,0,0,1652172082.658208
quick_sort,157464,9,0,0,1652172097.8600502
quick_sort,125484,76,0,0,1652197664.7161884
quick_sort,19759,15,0,0,1652197667.9764593
quick_sort,796908,8,0,0,1652197687.7254913
quick_sort,10000,9,0,0,1652197687.8664565
quick_sort,29160,10,0,0,1652197688.3604236
quick_sort,17927,8,0,0,1652197688.7221727
quick_sort,197594,141,0,0,1652197688.9881184
quick_sort,63506,15,0,0,1652197703.3798935
quick_sort,10000,8,0,0,1652197713.7849355
quick_sort,162655,20,0,0,1652197727.4119616
quick_sort,204107,6,0,0,1652197733.9849293
quick_sort,723027,35,0,0,1652197739.411221
quick_sort,301212,262,0,0,1652197739.748525
quick_sort,377976,61,0,0,1652197757.9680302
quick_sort,36591,4,0,0,1652197759.679623
quick_sort,540000,248,0,0,1652197760.5472503
quick_sort,82317,31,0,0,1652197761.0580056
quick_sort,522769,96,0,0,1652197767.0629673
quick_sort,489937,16,0,0,1652197773.8903568
quick_sort,21083,12,0,0,1652197795.3109577
quick_sort,937197,41,0,0,1652197801.4288876
quick_sort,217785,158,0,0,1652197801.8848836
quick_sort,377976,18,0,0,1652197806.1930988
quick_sort,459168,409,0,0,1652197806.7906744
quick_sort,110218,19,0,0,1652197807.8954344
quick_sort,44451,37,0,0,1652197822.7220004
quick_sort,354238,158,0,0,1652197823.4765067
quick_sort,823176,16,0,0,1652197834.6070776
quick_sort,321397,158,0,0,1652197837.6584146
quick_sort,968089,20,0,0,1652197847.796563
quick_sort,390435,134,0,0,1652197848.693229
quick_sort,138307,134,0,0,1652197849.0564396
quick_sort,224963,28,0,0,1652197850.6408453
quick_sort,217785,11,0,0,1652197854.6336355
quick_sort,138307,72,0,0,1652197855.021903
quick_sort,173554,126,0,0,1652197855.3455796
quick_sort,77147,20,0,0,1652197856.132907
quick_sort,217785,20,0,0,1652197858.3802073
quick_sort,168016,41,0,0,1652197864.4087195
quick_sort,65599,5,0,0,1652197873.3678708
quick_sort,44451,14,0,0,1652197874.742702
quick_sort,106701,6,0,0,1652197878.175836
quick_sort,459168,7,0,0,1652197891.730088
quick_sort,1000000,120,0,0,1652197894.0952353
quick_sort,72302,6,0,0,1652197896.4325047
